City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,grado,43.388,-6.0743,16.28,94,75,1.54,ES,2024-06-07
79,puerto ayora,-0.7393,-90.3518,21.42,98,65,2.72,EC,2024-06-07
80,geraldton,-28.7667,114.6,18.23,94,100,5.14,AU,2024-06-07
81,talakan,50.3167,130.3667,15.91,88,100,0.98,RU,2024-06-07
82,college,64.8569,-147.8028,21.71,29,40,1.54,US,2024-06-07
83,zavodoukovsk,56.5042,66.5515,13.81,90,100,4.23,RU,2024-06-07
84,colares,38.7992,-9.4469,18.52,96,100,5.81,PT,2024-06-07
85,san fernando de apure,7.8878,-67.4724,23.93,97,97,1.88,VE,2024-06-07
86,ushuaia,-54.8,-68.3,1.81,80,40,7.2,AR,2024-06-07
87,shizuishan,39.2333,106.7694,25.85,23,99,3.66,CN,2024-06-07
88,jamestown,42.097,-79.2353,16.77,82,75,3.6,US,2024-06-07
89,mount isa,-20.7333,139.5,19.87,42,0,5.66,AU,2024-06-07
90,luderitz,-26.6481,15.1594,17.12,44,0,8.72,NA,2024-06-07
91,karratha,-20.7377,116.8463,22.58,39,37,6.72,AU,2024-06-07
92,al qusiyah,27.4402,30.8184,29.15,29,0,4.45,EG,2024-06-07
93,nar'yan-mar,67.6713,53.087,1.17,92,100,3.58,RU,2024-06-07
94,luganville,-15.5333,167.1667,27.38,72,92,5.64,VU,2024-06-07
95,muroto-misakicho,33.2833,134.15,22.03,78,100,6.07,JP,2024-06-07
96,pizarro,4.9533,-77.366,26.1,89,100,0.89,CO,2024-06-07
97,invercargill,-46.4,168.35,12.79,84,34,1.34,NZ,2024-06-07
98,athens,37.9795,23.7162,27.21,54,0,3.52,GR,2024-06-07
99,inverell,-29.7833,151.1167,13.15,94,100,0.89,AU,2024-06-07
100,bowen,-20.0167,148.2333,20.63,47,0,3.39,AU,2024-06-07
101,katsuura,35.1333,140.3,21.87,72,6,3.35,JP,2024-06-07
102,kodinsk,58.6881,99.1844,16.36,41,61,3.24,RU,2024-06-07
103,birjand,32.8663,59.2211,17.26,17,0,2.06,IR,2024-06-07
104,santa vitoria do palmar,-33.5189,-53.3681,14.54,96,97,1.86,BR,2024-06-07
105,tongouson,5.0214,120.1328,28.68,73,76,1.29,PH,2024-06-07
106,lake munmorah,-33.1936,151.5719,19.33,66,51,0.89,AU,2024-06-07
107,ust-nera,64.5667,143.2,13.92,27,41,6.75,RU,2024-06-07
108,acarau,-2.8856,-40.12,25.16,88,46,4.41,BR,2024-06-07
109,touros,-5.1989,-35.4608,25.0,90,80,3.79,BR,2024-06-07
110,ketchikan,55.3422,-131.6461,19.63,29,0,4.63,US,2024-06-07
111,wewak,-3.5534,143.6268,29.1,74,11,2.53,PG,2024-06-07
112,road town,18.4167,-64.6167,28.02,83,20,1.54,VG,2024-06-07
113,el granada,37.5027,-122.4694,23.6,77,100,5.66,US,2024-06-07
114,lihue,21.9789,-159.3672,30.58,68,0,5.66,US,2024-06-07
115,fu'an,27.0892,119.6453,30.59,62,12,0.37,CN,2024-06-07
116,diffa,13.3154,12.6113,28.64,54,82,4.92,NE,2024-06-07
117,edinburgh of the seven seas,-37.0676,-12.3116,14.23,74,100,4.93,SH,2024-06-07
118,dampit,-8.2116,112.7493,27.67,65,84,1.44,ID,2024-06-07
119,afaahiti,-17.75,-149.2833,26.93,82,19,2.9,PF,2024-06-07
120,miri,4.4148,114.0089,31.08,62,20,2.57,MY,2024-06-07
121,caleta de carquin,-11.0925,-77.6267,18.78,81,20,3.93,PE,2024-06-07
122,anadyr,64.75,177.4833,4.28,64,75,3.0,RU,2024-06-07
123,kingston,17.997,-76.7936,28.53,79,20,7.2,JM,2024-06-07
124,dakhla,23.6848,-15.958,20.28,95,2,5.19,EH,2024-06-07
125,riachao das neves,-11.7461,-44.91,20.06,46,0,1.39,BR,2024-06-07
126,holualoa,19.6228,-155.9522,24.91,82,100,3.6,US,2024-06-07
127,shindand,33.3029,62.1474,22.66,14,0,4.81,AF,2024-06-07
128,yambio,4.5721,28.3955,21.04,98,99,1.11,SS,2024-06-07
129,polyarnyy,69.1989,33.4478,8.58,61,91,5.83,RU,2024-06-07
130,starokamyshinsk,55.0554,61.6031,13.1,95,100,3.65,RU,2024-06-07
131,georgetown,5.4112,100.3354,30.97,72,20,1.54,MY,2024-06-07
132,nadym,65.5333,72.5167,6.09,74,17,4.94,RU,2024-06-07
133,sao joao da barra,-21.6403,-41.0511,22.76,85,0,3.11,BR,2024-06-07
134,san patricio,28.017,-97.5169,29.35,70,0,5.09,US,2024-06-07
135,cabo san lucas,22.8909,-109.9124,30.17,54,20,6.71,MX,2024-06-07
136,saint-pierre,-21.3393,55.4781,19.82,64,0,4.12,RE,2024-06-07
137,namibe,-15.1961,12.1522,18.5,65,0,1.95,AO,2024-06-07
138,hamilton,39.1834,-84.5333,21.35,59,0,0.89,US,2024-06-07
139,seeb,23.6703,58.1891,33.02,54,1,3.37,OM,2024-06-07
140,ishim,56.1128,69.4902,13.35,96,97,4.92,RU,2024-06-07
141,labrador city,52.9463,-66.9114,16.95,63,0,1.03,CA,2024-06-07
142,taltal,-25.4,-70.4833,14.35,90,51,2.22,CL,2024-06-07
143,fort-shevchenko,44.5086,50.263,20.85,85,0,5.69,KZ,2024-06-07
144,namie,37.4833,141.0,27.06,67,100,0.89,JP,2024-06-07
