City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
206,murakami,JP,38.2333,139.4833,86,扇屋旅館
209,namibe,AO,-15.1961,12.1522,75,Nelsal Pensao
213,kailua-kona,US,19.6406,-155.9956,85,Kona Seaside Hotel
217,utrik,MH,11.2278,169.8474,81,No hotel found
218,isla mujeres,MX,21.2311,-86.731,65,Villa La Bella
219,jianshui,CN,23.6363,102.8264,99,阳阳大酒店
222,fort bragg,US,35.139,-79.006,32,Airborne Inn Lodging
224,antonio enes,MZ,-16.2325,39.9086,75,Hotel Quirimbas
229,leander,US,30.5788,-97.8531,59,Holiday Inn Express
230,akjoujt,MR,19.6969,-14.4164,11,Hotel Fatima فندق فاطمة
234,katsuura,JP,35.1333,140.3,76,潮騒の宿
235,kuta,ID,-8.7233,115.1723,100,Ida Hotel Bali
236,conduaga,PH,8.862,117.4893,91,No hotel found
238,mogadishu,SO,2.0371,45.3438,83,Villa Rays Restaurant & Hotel
239,pacific grove,US,36.6177,-121.9166,83,Pacific Grove Inn
240,taoudenni,ML,22.6783,-3.9836,7,No hotel found
242,fortaleza,BR,-3.7227,-38.5247,66,Hotel Catedral
243,borba,BR,-4.3878,-59.5939,54,No hotel found
244,waddan,LY,29.1614,16.139,11,No hotel found
247,pahrump,US,36.2083,-115.9839,17,Holiday Inn Express & Suites
249,hithadhoo,MV,-0.6,73.0833,75,Pebbles Inn
250,laguna,US,38.421,-121.4238,59,Holiday Inn Express & Suites
251,isla vista,US,34.4133,-119.861,87,The Club & Guest House
253,itoman,JP,26.1247,127.6694,100,No hotel found
254,taunggyi,MM,20.7833,97.0333,95,Golden Island Cottages
257,batticaloa,LK,7.7102,81.6924,77,Lake View Hotel
259,archangelos,GR,36.2149,28.1149,62,Semina
261,tura,IN,25.5198,90.2201,93,Hotel Polo Orchid
264,nichinan,JP,31.6,131.3667,97,No hotel found
265,concepcion del oro,MX,24.6333,-101.4167,26,No hotel found
267,zouerate,MR,22.7187,-12.4521,14,فندق تيرس زمور
268,pasni,PK,25.2631,63.471,82,Juddi Hotel
271,kill devil hills,US,36.0307,-75.676,57,Mariner Days Inn & Suites
275,konarka,IN,19.9,86.1167,83,Hotel Sun Village
276,darwin,AU,-12.4611,130.8418,82,Mantra Pantanas Darwin
278,timimoun,DZ,29.2639,0.231,7,أناف
279,papao,PF,-17.75,-149.55,84,Hiti Moana Villa Lodge
285,bel ombre,SC,-4.6167,55.4167,74,Villa La Cachette
290,antalaha,MG,-14.9003,50.2788,84,Hôtel Florida
293,cabo san lucas,MX,22.8909,-109.9124,53,Comfort Rooms
295,suva,FJ,-18.1416,178.4415,94,Extension 68
300,geneina,SD,13.45,22.45,19,Princess
301,uttaradit,TH,17.6667,100.5,95,No hotel found
302,manokwari,ID,-0.8667,134.0833,80,Hotel Arfak
304,contai,IN,21.7786,87.7536,81,No hotel found
306,leava,WF,-14.3,-178.1667,74,Fia fia
307,rabo de peixe,PT,37.8,-25.5833,99,Pico do Refugio
308,puerto el triunfo,SV,13.2833,-88.55,90,Motel Jardín
309,murzuq,LY,25.9155,13.9184,10,فندق باريس - مرزق
311,lamu,KE,-2.2717,40.902,76,Hotel Archipelago villa bed and breakfast
312,camana,PE,-16.6228,-72.7111,74,Caja Arequipa
314,lagos,NG,6.5833,3.75,96,No hotel found
316,posto fiscal rolim de moura,BR,-13.0833,-62.2667,23,No hotel found
317,yoakum,US,29.2878,-97.1519,33,No hotel found
318,labuan,MY,5.2767,115.2417,94,Labuan Avenue Hotel
319,svay rieng,KH,11.0879,105.7993,69,sopheakmonkol hotel
322,palikir - national government center,FM,6.9248,158.1611,94,Mangrove Bay Hotel
323,ad dabbah,SD,18.05,30.95,10,No hotel found
324,kamaishi,JP,39.2667,141.8833,92,釜石ベイシティホテル
329,velingara,SN,13.15,-14.1167,22,Campement touristique
330,mahibadhoo,MV,3.7833,72.9667,75,No hotel found
333,jebrail,AZ,39.3992,47.0283,66,No hotel found
335,takoradi,GH,4.8845,-1.7554,85,Hillcrest
337,carutapera,BR,-1.195,-46.02,62,No hotel found
338,rasht,IR,37.2808,49.5832,88,هتل اردیبهشت
340,pampas,PE,-12.4,-74.9,17,Hotel Plaza
341,anar darah,AF,32.7587,61.654,14,No hotel found
342,santo antonio,BR,-6.3106,-35.4789,72,Pousada Onça Puma
343,moyale,KE,3.5167,39.0584,64,Paul’s guest house
344,yamba,CD,-5.9,22.3,32,Thabor
345,meizhou,CN,24.2977,116.1072,99,7天梅州嘉得利店
348,kirakira,SB,-10.4544,161.9205,89,No hotel found
349,dapa,PH,9.7594,126.0531,82,Island Suites
350,pacasmayo,PE,-7.4006,-79.5714,71,Playa Linda
351,capinopolis,BR,-18.6819,-49.5697,28,Hotel Di Roma
352,uribia,CO,11.7139,-72.266,51,No hotel found
354,buon ma thuot,VN,12.6667,108.05,97,vuon phap 3
355,lauro de freitas,BR,-12.8944,-38.3272,69,Malibu Plaza Hotel
358,hawaiian paradise park,US,19.5933,-154.9731,78,No hotel found
359,ar ruways,AE,24.1103,52.7306,60,No hotel found
361,bubaque,GW,11.2833,-15.8333,76,Chez Julio
362,lorengau,PG,-2.0226,147.2712,85,Seeadler Bay Hotel
363,shingu,JP,33.7333,135.9833,91,ホテルニューパレス
364,san antonio de pale,GQ,-1.4014,5.6325,77,No hotel found
365,bikenibeu village,KI,1.3673,173.1241,100,Otintaai Hotel
370,acapulco de juarez,MX,16.8634,-99.8901,74,Hotel del Valle
372,talara,PE,-4.5772,-81.2719,57,Hospedaje El Aypate
373,kulhudhuffushi,MV,6.6221,73.07,79,No hotel found
374,kolonia town,FM,6.964,158.206,94,Cliff Rainbow Hotel
375,ta`u,AS,-14.2336,-169.5144,74,No hotel found
379,tchintabaraden,NE,15.8969,5.7985,28,No hotel found
381,jawf al maqbabah,YE,13.8378,45.8349,44,فندق لودر
383,benghazi,LY,32.1167,20.0667,70,ترجاب
385,qamdo,CN,31.1667,97.2333,62,银杏商务宾馆
386,guymon,US,36.6828,-101.4816,40,Comfort Inn & Suites
387,bocas del toro,PA,9.3333,-82.25,70,B&B Surfari
388,praia da vitoria,PT,38.7333,-27.0667,64,Salles
389,santo antonio do ica,BR,-3.1022,-67.9397,67,No hotel found
390,lhasa,CN,29.65,91.1,55,Shangri-la Hotel Lhasa
392,beli,NG,7.8587,10.9719,70,Seven sisters central guest inn Bali
394,faya-largeau,TD,17.9257,19.1043,7,No hotel found
396,guiping,CN,23.3925,110.0814,99,西山假日大酒店
401,chico,US,39.7285,-121.8375,45,University Inn
404,al jawf,SA,29.5,38.75,12,No hotel found
406,tekirova,TR,36.5017,30.5272,47,Beach Club Pinara
408,luganville,VU,-15.5333,167.1667,82,Beachfront Resort
